sample_accession	accession	run_accession	library_layout	fastq_bytes	fastq_ftp	fastq_md5	sra_bytes	sra_ftp	sra_md5
SAMD00009497	SAMD00009497	DRR000029	SINGLE	1296930332	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000029/DRR000029.fastq.gz	3c0785e6fff55b34b726a19ace5d6578			
SAMD00009497	SAMD00009497	DRR000030	SINGLE	953449390	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000030/DRR000030.fastq.gz	f1926142b881e735cd719986c1c54294			
SAMD00009330	SAMD00009330	DRR000031	SINGLE	137930658	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000031/DRR000031.fastq.gz	06ccf33b59cf2dd7df9852439ae2b819			
SAMD00003753	SAMD00003753	DRR000032	SINGLE	142628954	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000032/DRR000032.fastq.gz	eb64e1fadb427895445759893bc6005c			
SAMD00009390	SAMD00009390	DRR000033	SINGLE	151730404	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000033/DRR000033.fastq.gz	6cc79b5271203984b9540574c35cfe04			
SAMD00009104	SAMD00009104	DRR000034	SINGLE	158306630	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000034/DRR000034.fastq.gz	97a3fb5b75cb7adb5dd5f829151f6806			
SAMD00015936	SAMD00015936	DRR000035	SINGLE	149788822	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000035/DRR000035.fastq.gz	82f0577a6627f8ffa580e31289450347			
SAMD00015699	SAMD00015699	DRR000036	SINGLE	116819002	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000036/DRR000036.fastq.gz	4e9f3e14d82877ec1243294b7e0a6abc			
SAMD00010639	SAMD00010639	DRR000037	SINGLE	176739714;205257112	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000037/DRR000037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000037/DRR000037_2.fastq.gz	72ee20aef91aba3a01b3721a2fd4fec1;47bb7b224d3a1d29a928a61892d1167a			
SAMD00010639	SAMD00010639	DRR000038	SINGLE	177069581;206863301	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000038/DRR000038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000038/DRR000038_2.fastq.gz	ed638c25e69319b717d002292970f312;2a0f71e2cfe00995ee8129a96650e4bc			
SAMD00010639	SAMD00010639	DRR000039	SINGLE	182547848;208523452	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000039/DRR000039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000039/DRR000039_2.fastq.gz	b40f36d367046a39d1d624552c4a6ece;9c90bb835ebb8c22e63d6e8529edbe93			
SAMD00010639	SAMD00010639	DRR000040	SINGLE	182139412;208173192	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000040/DRR000040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000040/DRR000040_2.fastq.gz	aad946c6e77531e37064ad393f86592c;c6c1716c97c7eb6f6ab33d52196a892f			
SAMD00010639	SAMD00010639	DRR000041	SINGLE	178298533;203331309	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000041/DRR000041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000041/DRR000041_2.fastq.gz	d7dc61965ea77da20931725998ee4af1;32662ffb90d5dba98f8261dab6db9409			
SAMD00010639	SAMD00010639	DRR000042	SINGLE	140925399;172595357	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000042/DRR000042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000042/DRR000042_2.fastq.gz	6c2df60ce32885d70b37be6d8b062911;fc2341d7ebc5acf8ff8283a560a100b7			
SAMD00009317	SAMD00009317	DRR000043	SINGLE	94292174;128413299	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000043/DRR000043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000043/DRR000043_2.fastq.gz	62ed7d249b03ed1c6e929612acb6b731;4ab74eb093daf25f9fe9f24b8dc2403d			
SAMD00009317	SAMD00009317	DRR000044	SINGLE	88723948;119715426	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000044/DRR000044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000044/DRR000044_2.fastq.gz	4c675639dd5e4211dc44335f70282d9b;8542aec6e791cea28ac1ad29ea4ec70b			
SAMD00009317	SAMD00009317	DRR000045	SINGLE	93025318;126847781	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000045/DRR000045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000045/DRR000045_2.fastq.gz	1c314e948989786629d9cf48f0c82294;bc76b8c6001216449e6daeb2dcadfed8			
SAMD00009317	SAMD00009317	DRR000046	SINGLE	83755915;113523768	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000046/DRR000046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000046/DRR000046_2.fastq.gz	b6abda9fbc816bbf5d9360c9edd37343;d27f3a4e5fb9d6e8249f10ea71d3b224			
SAMD00009317	SAMD00009317	DRR000047	SINGLE	148080294;190243969	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000047/DRR000047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000047/DRR000047_2.fastq.gz	5ff2df7463eea9142cff12e071c48de0;12235931cc92ac9f7ee686101387251d			
SAMD00016448	SAMD00016448	DRR000048	SINGLE	100949120;117129409	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000048/DRR000048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000048/DRR000048_2.fastq.gz	dadd6317f15d4aaaa62fcc9d461c117a;7956c6c3c38c743a8279f877ecd5de36			
SAMD00016448	SAMD00016448	DRR000049	SINGLE	117411946;145889889	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000049/DRR000049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000049/DRR000049_2.fastq.gz	1409913dcbf787dd5b624013a45d6119;3f5f0b3400754cf339b0725ac702bbe1			
SAMD00016448	SAMD00016448	DRR000050	SINGLE	114566583;141704581	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000050/DRR000050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000050/DRR000050_2.fastq.gz	811404df74fbb665d64fcc3a8e75566a;a5eb5883be0356d33d9aec8586f31f43			
